OM,Year,Biomass
MOM_005,1955,1.660467093
MOM_005,1956,1.648743673
MOM_005,1957,1.639532216
MOM_005,1958,1.624521398
MOM_005,1959,1.609583137
MOM_005,1960,1.588868143
MOM_005,1961,1.582811143
MOM_005,1962,1.573414905
MOM_005,1963,1.558607533
MOM_005,1964,1.518706504
MOM_005,1965,1.474429042
MOM_005,1966,1.447655443
MOM_005,1967,1.418291316
MOM_005,1968,1.392728635
MOM_005,1969,1.368454005
MOM_005,1970,1.345885826
MOM_005,1971,1.323520171
MOM_005,1972,1.326312174
MOM_005,1973,1.332462292
MOM_005,1974,1.330350588
MOM_005,1975,1.326884578
MOM_005,1976,1.30883605
MOM_005,1977,1.30436527
MOM_005,1978,1.301873175
MOM_005,1979,1.268290788
MOM_005,1980,1.22291643
MOM_005,1981,1.152070751
MOM_005,1982,1.091803866
MOM_005,1983,1.018387844
MOM_005,1984,0.948833179
MOM_005,1985,0.904328239
MOM_005,1986,0.85871799
MOM_005,1987,0.796347577
MOM_005,1988,0.738011597
MOM_005,1989,0.696526317
MOM_005,1990,0.663199433
MOM_005,1991,0.631776046
MOM_005,1992,0.609676526
MOM_005,1993,0.589612662
MOM_005,1994,0.557188179
MOM_005,1995,0.528858587
MOM_005,1996,0.486802119
MOM_005,1997,0.462253832
MOM_005,1998,0.461451103
MOM_005,1999,0.469732978
MOM_005,2000,0.482816593
MOM_005,2001,0.489462292
MOM_005,2002,0.502128394
MOM_005,2003,0.514139297
MOM_005,2004,0.508931019
MOM_005,2005,0.501422199
MOM_005,2006,0.501339374
MOM_005,2007,0.52202767
MOM_005,2008,0.544431464
MOM_005,2009,0.565328465
MOM_005,2010,0.566710593
MOM_005,2011,0.577350666
MOM_005,2012,0.584156749
MOM_005,2013,0.570703778
MOM_005,2014,0.563475285
MOM_005,2015,0.559140787
MOM_005,2016,0.544338569
MOM_005,2017,0.533584819
MOM_005,2018,0.546032479
MOM_005,2019,0.575986789
MOM_005,2020,0.58236303
MOM_006,1950,1.771479014
MOM_006,1951,1.748711841
MOM_006,1952,1.734307498
MOM_006,1953,1.718861488
MOM_006,1954,1.702852169
MOM_006,1955,1.691297457
MOM_006,1956,1.678378466
MOM_006,1957,1.668314974
MOM_006,1958,1.651788112
MOM_006,1959,1.635384354
MOM_006,1960,1.612544895
MOM_006,1961,1.606225615
MOM_006,1962,1.596215666
MOM_006,1963,1.580173887
MOM_006,1964,1.536008144
MOM_006,1965,1.487042631
MOM_006,1966,1.457815872
MOM_006,1967,1.425796168
MOM_006,1968,1.398119676
MOM_006,1969,1.371972333
MOM_006,1970,1.347788509
MOM_006,1971,1.323860068
MOM_006,1972,1.328171976
MOM_006,1973,1.336218222
MOM_006,1974,1.334920165
MOM_006,1975,1.331988663
MOM_006,1976,1.312608847
MOM_006,1977,1.308392002
MOM_006,1978,1.306357101
MOM_006,1979,1.269393487
MOM_006,1980,1.220815173
MOM_006,1981,1.145931473
MOM_006,1982,1.083964606
MOM_006,1983,1.008086693
MOM_006,1984,0.936655931
MOM_006,1985,0.893122769
MOM_006,1986,0.848348841
MOM_006,1987,0.784573017
MOM_006,1988,0.724714407
MOM_006,1989,0.682971633
MOM_006,1990,0.649991079
MOM_006,1991,0.618862844
MOM_006,1992,0.597750671
MOM_006,1993,0.578477204
MOM_006,1994,0.545002345
MOM_006,1995,0.516061545
MOM_006,1996,0.471560393
MOM_006,1997,0.445610052
MOM_006,1998,0.445172856
MOM_006,1999,0.454035096
MOM_006,2000,0.467528883
MOM_006,2001,0.47353353
MOM_006,2002,0.486645593
MOM_006,2003,0.499649642
MOM_006,2004,0.494055173
MOM_006,2005,0.486119512
MOM_006,2006,0.485935443
MOM_006,2007,0.507907777
MOM_006,2008,0.531335252
MOM_006,2009,0.553881568
MOM_006,2010,0.555413984
MOM_006,2011,0.567207881
MOM_006,2012,0.574308122
MOM_006,2013,0.558960683
MOM_006,2014,0.550940378
MOM_006,2015,0.546856336
MOM_006,2016,0.531564065
MOM_006,2017,0.520662889
MOM_006,2018,0.535009958
MOM_006,2019,0.569294469
MOM_006,2020,0.578490933
MOM_007,1950,1.532165092
MOM_007,1951,1.512736254
MOM_007,1952,1.501605027
MOM_007,1953,1.49003713
MOM_007,1954,1.478375009
MOM_007,1955,1.470907615
MOM_007,1956,1.462231383
MOM_007,1957,1.455991511
MOM_007,1958,1.444032192
MOM_007,1959,1.432384676
MOM_007,1960,1.415394925
