"","OM","M","sigmaR","h","CPUE lambda","Increase in catchability","Environmental covariate","SSB0","SSB_MSY","R0","F_FMSY","MSY","Depletion","SB_SBMSY"
"105",105,"0.3","0.2","0.9","20","1.01","0",60470.9,1303.97,8973.69,0.82,13815.7,0.17,1.18
"106",106,"0.1","0.6","0.9","20","1.01","0",272816,442.12,59102,1.56,10840.3,0.16,0.75
"107",107,"0.2","0.6","0.9","20","1.01","0",124526,905.59,21764.7,1.09,13877.9,0.15,0.88
"108",108,"0.3","0.6","0.9","20","1.01","0",68239.7,1471.5,10005.4,0.75,15654.9,0.18,1.23
"109",109,"0.1","0.2","0.6","0.05","1","1",378983,614.18,127702,2.02,9053.83,0.23,0.71
"110",110,"0.2","0.2","0.6","0.05","1","1",175376,1275.39,54652.7,0.99,11729.5,0.33,1.1
"111",111,"0.3","0.2","0.6","0.05","1","1",347249,7487.97,102582,0.12,45916.3,0.86,2.97
"112",112,"0.1","0.6","0.6","0.05","1","1",376153,609.59,126677,2.24,8913.5,0.22,0.68
"113",113,"0.2","0.6","0.6","0.05","1","1",180654,1313.77,56288.9,1.41,12037.7,0.24,0.84
"114",114,"0.3","0.6","0.6","0.05","1","1",353613,7625.19,104470,0.14,46701.7,0.75,2.63
"115",115,"0.1","0.2","0.75","0.05","1","1",327327,530.46,92457.1,1.83,9951.41,0.19,0.71
"116",116,"0.2","0.2","0.75","0.05","1","1",155863,1133.48,38968.5,0.67,13351.1,0.38,1.53
"117",117,"0.3","0.2","0.75","0.05","1","1",345196,7443.7,79224.9,0.08,59492.2,0.87,3.89
"118",118,"0.1","0.6","0.75","0.05","1","1",322489,522.62,90954,2.28,9720.91,0.17,0.64
"119",119,"0.2","0.6","0.75","0.05","1","1",159022,1156.45,39747,0.96,13585.4,0.27,1.15
"120",120,"0.3","0.6","0.75","0.05","1","1",357485,7708.7,82053,0.09,61533.8,0.78,3.51
"121",121,"0.1","0.2","0.9","0.05","1","1",290645,471.02,62591.1,1.47,10818.2,0.17,0.83
"122",122,"0.2","0.2","0.9","0.05","1","1",143455,1043.24,24755.3,0.43,15303,0.41,2.42
"123",123,"0.3","0.2","0.9","0.05","1","1",343475,7406.59,50614.1,0.05,75947,0.88,6.12
"124",124,"0.1","0.6","0.9","0.05","1","1",283271,459.07,60761.4,2.17,10476.8,0.13,0.66
"125",125,"0.2","0.6","0.9","0.05","1","1",146213,1063.3,25214.9,0.6,15564.4,0.3,1.84
"126",126,"0.3","0.6","0.9","0.05","1","1",359221,7746.12,52938.2,0.06,79327.8,0.79,5.57
"127",127,"0.1","0.2","0.6","1","1","1",407797,660.87,137431,1.36,9699.93,0.31,0.93
"128",128,"0.2","0.2","0.6","1","1","1",177585,1291.45,55350.1,0.91,11920.7,0.36,1.16
"129",129,"0.3","0.2","0.6","1","1","1",162468,3503.41,48013.9,0.3,21615.7,0.7,2.41
"130",130,"0.1","0.6","0.6","1","1","1",417872,677.2,140775,1.41,9895.49,0.3,0.91
"131",131,"0.2","0.6","0.6","1","1","1",198825,1445.91,61962,0.91,13279.2,0.34,1.11
"132",132,"0.3","0.6","0.6","1","1","1",137535,2965.75,40625.8,0.48,18407.3,0.5,1.72
"133",133,"0.1","0.2","0.75","1","1","1",349723,566.76,98799.9,1.2,10561,0.27,0.97
"134",134,"0.2","0.2","0.75","1","1","1",150170,1092.08,37578.3,0.72,12964.5,0.35,1.42
"135",135,"0.3","0.2","0.75","1","1","1",192519,4151.41,44204,0.16,33290,0.79,3.51
"136",136,"0.1","0.6","0.75","1","1","1",358866,581.58,101299,1.25,10772.9,0.26,0.95
"137",137,"0.2","0.6","0.75","1","1","1",168040,1222.03,42028.6,0.73,14422.2,0.33,1.36
"138",138,"0.3","0.6","0.75","1","1","1",131857,2843.32,30283.7,0.31,22994.2,0.55,2.48
"139",139,"0.1","0.2","0.9","1","1","1",307942,499.05,66300.7,0.98,11372.1,0.24,1.13
"140",140,"0.2","0.2","0.9","1","1","1",133293,969.35,23088.2,0.51,14368.2,0.36,2.09
"141",141,"0.3","0.2","0.9","1","1","1",202593,4368.64,29887.3,0.09,44917,0.82,5.68
"142",142,"0.1","0.6","0.9","1","1","1",316157,512.36,67919.1,1.03,11595.2,0.23,1.11
"143",143,"0.2","0.6","0.9","1","1","1",148751,1081.76,25719.2,0.52,15944.2,0.33,1.98
"144",144,"0.3","0.6","0.9","1","1","1",220253,4749.47,32498.6,0.1,48825,0.73,5.09
"145",145,"0.1","0.2","0.6","20","1","1",400976,649.82,135232,1.3,9891.02,0.31,0.93
